product_id,product_name,certification_level,agency,sponsor,authorization_date,impact_level,description,link
cisco-product-1,Cisco Product 1,FedRAMP In Progress,HHS,CloudOps,2025-02-22,High,Zero Trust gateway,https://example.com/cisco-product-1
cisco-product-2,Cisco Product 2,FedRAMP Ready,HHS,DISA,2020-07-08,Low,Zero Trust gateway,https://example.com/cisco-product-2
cisco-product-3,Cisco Product 3,FedRAMP Ready,DoD,ITOps,2020-12-16,High,Network visibility platform,https://example.com/cisco-product-3
cisco-product-4,Cisco Product 4,FedRAMP Ready,DHS,CIO,2019-12-22,High,Unified endpoint platform,https://example.com/cisco-product-4
cisco-product-5,Cisco Product 5,FedRAMP Ready,DOE,CloudOps,2020-07-23,Low,Network visibility platform,https://example.com/cisco-product-5
cisco-product-6,Cisco Product 6,FedRAMP Ready,DOE,CyberSec,2021-09-13,Moderate,Audit & compliance tool,https://example.com/cisco-product-6
cisco-product-7,Cisco Product 7,FedRAMP Ready,DoD,CloudOps,2024-12-13,High,Unified endpoint platform,https://example.com/cisco-product-7
cisco-product-8,Cisco Product 8,FedRAMP In Progress,DOE,CIO,2024-05-08,High,Secure identity management,https://example.com/cisco-product-8
cisco-product-9,Cisco Product 9,FedRAMP Ready,GSA,CyberSec,2020-10-12,Low,Network visibility platform,https://example.com/cisco-product-9
cisco-product-10,Cisco Product 10,FedRAMP In Progress,VA,CyberSec,2020-04-06,High,Secure identity management,https://example.com/cisco-product-10
cisco-product-11,Cisco Product 11,FedRAMP Authorized,GSA,DISA,2025-04-15,Low,Zero Trust gateway,https://example.com/cisco-product-11
cisco-product-12,Cisco Product 12,FedRAMP Authorized,DoD,CyberSec,2021-01-26,Low,Secure identity management,https://example.com/cisco-product-12
cisco-product-13,Cisco Product 13,FedRAMP Authorized,NASA,DISA,2022-10-25,High,Secure identity management,https://example.com/cisco-product-13
cisco-product-14,Cisco Product 14,FedRAMP Authorized,DHS,CIO,2022-08-13,Moderate,Unified endpoint platform,https://example.com/cisco-product-14
cisco-product-15,Cisco Product 15,FedRAMP Ready,DoD,CloudOps,2020-10-30,Low,Audit & compliance tool,https://example.com/cisco-product-15
